"09/14/2018,""TEXT"",""QH5UBGDPVY"""
"09/11/2018,""URI"",""http://l.ead.me/bax8hR"""
"08/28/2018,""TEXT"",""QH03B4YU41"""
"07/24/2018,""TEXT"",""QFKZNUWKVL"""
"07/24/2018,""TEXT"",""QFQDBLFYKG"""
"07/24/2018,""TEXT"",""QFDU1RC2G3"""
"07/24/2018,""TEXT"",""QF3LX7EST8"""
"07/24/2018,""TEXT"",""QF3LX7DL2W"""
"07/24/2018,""TEXT"",""QFRZC23YJZ"""
"07/24/2018,""TEXT"",""QFMXVT3R8T"""
"07/24/2018,""TEXT"",""QFKN5XBAPS"""
"07/24/2018,""TEXT"",""QFKU8TPSBL"""
"07/24/2018,""TEXT"",""QFRZC221GL"""
"07/24/2018,""TEXT"",""QFKN8MMCL1"""
"07/24/2018,""TEXT"",""QFKNG75RPR"""
"07/24/2018,""TEXT"",""QFMXVT2CF4"""
"07/24/2018,""TEXT"",""QFDU1RDN8C"""
"07/11/2018,""TEXT"",""QEUSY2FL11"""
"07/11/2018,""TEXT"",""QEUSY2EE29"""
